"ticker","sector","ps","eps_grn5yrs","gm","om","pm","pr","tgt_pr","pps","deltaps","ppr","R2"
"XRX","Technology",0.58,0.03,0.296,0.027,0.023,9.81,11.15,0.51,-0.1,8,0.55
"AEE","Utilities",2.04,0.052,0.855,0.218,0.104,48.65,53.21,2.67,0.6,63,0.91
"AEP","Utilities",2.05,0.0381,0.825,0.199,0.125,64.3,72.74,2.47,0.4,77,0.91
"AES","Utilities",0.64,0.0335,0.182,0.041,-0.019,12.55,13.07,0.48,-0.2,9,0.91
"CMS","Utilities",1.97,0.0727,0.641,0.192,0.088,41.88,45.25,2.22,0.3,47,0.91
"D","Utilities",4.39,0.0598,0.966,0.31,0.174,74.45,80.33,3.39,-1,57,0.91
"DUK","Utilities",2.46,0.0435,0.7,0.224,0.114,79.06,85.76,2.41,0,77,0.91
"ED","Utilities",1.95,0.0198,0.747,0.197,0.095,74.56,75.32,2.27,0.3,86,0.91
"EIX","Utilities",2.15,0.0226,0.624,0.157,0.079,72.2,79.59,1.85,-0.3,62,0.91
"ETR","Utilities",1.32,-0.0214,0.868,-0.025,0.016,77.63,82.63,1.14,-0.2,67,0.91
"EXC","Utilities",1.13,0.0306,0.585,0.106,0.048,33.65,38.47,1.52,0.4,45,0.91
"FE","Utilities",0.96,-0.0395,0.717,0.039,-0.04,32.84,36.33,1.17,0.2,40,0.91
"LNT","Utilities",2.79,0.066,0.942,0.182,0.122,37.96,39.7,2.67,-0.1,36,0.91
"NI","Utilities",1.87,-0.129,0.699,0.2,0.062,23.65,25.4,1.74,-0.1,22,0.91
"OKE","Utilities",1.33,0.1216,0.3,0.126,0.036,46.83,44.73,1.42,0.1,49,0.91
"PCG","Utilities",1.92,0.057,0.674,0.074,0.045,61.84,67.53,1.59,-0.3,51,0.91
"PPL","Utilities",3.28,0.0324,0.901,0.382,0.235,34.68,38.1,3.58,0.3,37,0.91
"SCG","Utilities",2.58,0.054,0.726,0.258,0.129,70.93,75.43,2.67,0.1,73,0.91
"SO","Utilities",2.98,0.0316,0.711,0.25,0.134,51.46,53,2.53,-0.5,43,0.91
"SRE","Utilities",2.75,0.0678,0.967,0.12,0.096,105.2,119.25,2.38,-0.4,91,0.91
"WEC","Utilities",2.69,0.0672,0.643,0.224,0.121,60.18,63.6,2.38,-0.3,53,0.91
"XEL","Utilities",1.99,0.0542,0.931,0.199,0.099,40.86,43.82,2.7,0.7,55,0.91
